PERCENT_EVIL,PAYOFF,WEALTH_GAP,SEC_INVESTMENT_CONVERSION_RATE,ATTACK_COST_CONVERSION_RATE,CHANCE_OF_GETTING_CAUGHT,SEC_INVESTMENT,d_init,d_end,a_init,a_end,final_iter,crossover
0.5,0.8,0.5,0.1,0.3,0.0,0.9,27435952.4,27435952.4,56005966.5,56005966.5,50,0
0.5,0.8,0.5,0.2,0.3,0.0,0.9,28265991.5,28265991.5,82597456.0,82597456.0,50,0
0.5,0.8,0.5,0.3,0.3,0.0,0.9,27574933.4,27574933.4,53516818.0,53516818.0,50,0
0.5,0.8,0.5,0.4,0.3,0.0,0.9,29891072.5,29891072.5,80389665.0,80389665.0,50,0
0.5,0.8,0.5,0.5,0.3,0.0,0.9,30244332.1,30244332.1,67620303.5,67620303.5,50,0
0.5,0.8,0.5,0.6,0.3,0.0,0.9,30649312.3,30649312.3,83303804.0,83303804.0,50,0
0.5,0.8,0.5,0.7,0.3,0.0,0.9,22132889.5,22132889.5,69257571.0,69257571.0,50,0
0.5,0.8,0.5,0.8,0.3,0.0,0.9,24745112.4,24745112.4,61308766.5,61308766.5,50,0
0.5,0.8,0.5,0.9,0.3,0.0,0.9,23220310.7,23220310.7,50790726.0,50790726.0,50,0
0.5,0.8,0.5,1.0,0.3,0.0,0.9,26011695.0,26011695.0,71596124.5,71596124.5,50,0
