PERCENT_EVIL,PAYOFF,WEALTH_GAP,SEC_INVESTMENT_CONVERSION_RATE,ATTACK_COST_CONVERSION_RATE,CHANCE_OF_GETTING_CAUGHT,SEC_INVESTMENT,d_init,d_end,a_init,a_end,final_iter,crossover
0.5,0.1,0.5,0.5,0.3,0.0,1.0,0.0,0.0,79113999.0,79113999.0,50,0
0.5,0.2,0.5,0.5,0.3,0.0,1.0,0.0,0.0,56447114.5,56447114.5,50,0
0.5,0.3,0.5,0.5,0.3,0.0,1.0,0.0,0.0,72329065.5,72329065.5,50,0
0.5,0.4,0.5,0.5,0.3,0.0,1.0,0.0,0.0,65595791.5,65595791.5,50,0
0.5,0.5,0.5,0.5,0.3,0.0,1.0,0.0,0.0,74292244.0,74292244.0,50,0
0.5,0.6,0.5,0.5,0.3,0.0,1.0,0.0,0.0,86631477.5,86631477.5,50,0
0.5,0.7,0.5,0.5,0.3,0.0,1.0,0.0,0.0,52172841.5,52172841.5,50,0
0.5,0.8,0.5,0.5,0.3,0.0,1.0,0.0,0.0,62272376.0,62272376.0,50,0
0.5,0.9,0.5,0.5,0.3,0.0,1.0,0.0,0.0,69337203.0,69337203.0,50,0
0.5,1.0,0.5,0.5,0.3,0.0,1.0,0.0,0.0,59632554.5,59632554.5,50,0
