param,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
ATTACKERS,,365553508,371377148,374180454,374047619,374879731,376135645,376943891,377764348,378478567,379101716
CAUGHT,354058756,354040921,354017751,353992578,353946796,353904376,353821335,353684974,353450834,352725620,210818686
CLAIMS,,374840605,374832016,374856265,374841848,374848704,374847417,374851116,374842473,374852093,374850090
EFFICIENCY,,374862138,374849814,374853324,374858970,374849356,374863698,374828510,374833346,374835225,374828246
EFFORT,,746249530,726240781,690340562,618817985,505792073,320633288,116616568,23725961,45879,0
INEQUALITY,,366955645,370384464,372514070,374004156,375279196,376401836,377233031,377971439,378605815,379112975
MANDATE,691120194,655259923,634134030,614632020,591655557,561660903,,,,,
PAYOFF,,296645538,313786823,329311151,343171087,353985211,365361240,381387774,408119774,454333051,502360978
PREMIUM,283282720,305778550,312626762,320093303,328008112,336807246,346606437,357677232,370147189,384724331,402710745
TAX,311241786,311506760,315856185,305186921,328106451,335714075,344429675,354514807,365975979,379522413,396407575
