TAX=0,PREMIUM=0,MANDATE=0,6978970
TAX=0,PREMIUM=0,MANDATE=1,1454715
TAX=0,PREMIUM=0,MANDATE=2,898184
TAX=0,PREMIUM=0,MANDATE=3,695253
TAX=0,PREMIUM=0,MANDATE=4,577647
TAX=0,PREMIUM=0,MANDATE=5,395231
TAX=0,PREMIUM=1,MANDATE=0,6976149
TAX=0,PREMIUM=1,MANDATE=1,1454605
TAX=0,PREMIUM=1,MANDATE=2,861117
TAX=0,PREMIUM=1,MANDATE=3,674085
TAX=0,PREMIUM=1,MANDATE=4,559226
TAX=0,PREMIUM=1,MANDATE=5,474818
TAX=0,PREMIUM=2,MANDATE=0,7121550
TAX=0,PREMIUM=2,MANDATE=1,1366038
TAX=0,PREMIUM=2,MANDATE=2,826839
TAX=0,PREMIUM=2,MANDATE=3,694804
TAX=0,PREMIUM=2,MANDATE=4,498328
TAX=0,PREMIUM=2,MANDATE=5,492441
TAX=0,PREMIUM=3,MANDATE=0,7282984
TAX=0,PREMIUM=3,MANDATE=1,1286523
TAX=0,PREMIUM=3,MANDATE=2,785170
TAX=0,PREMIUM=3,MANDATE=3,595602
TAX=0,PREMIUM=3,MANDATE=4,509389
TAX=0,PREMIUM=3,MANDATE=5,540332
TAX=0,PREMIUM=4,MANDATE=0,7527300
TAX=0,PREMIUM=4,MANDATE=1,1207503
TAX=0,PREMIUM=4,MANDATE=2,712445
TAX=0,PREMIUM=4,MANDATE=3,559810
TAX=0,PREMIUM=4,MANDATE=4,528862
TAX=0,PREMIUM=4,MANDATE=5,464080
TAX=0,PREMIUM=5,MANDATE=0,7775418
TAX=0,PREMIUM=5,MANDATE=1,1133388
TAX=0,PREMIUM=5,MANDATE=2,662297
TAX=0,PREMIUM=5,MANDATE=3,525242
TAX=0,PREMIUM=5,MANDATE=4,511433
TAX=0,PREMIUM=5,MANDATE=5,392222
TAX=0,PREMIUM=6,MANDATE=0,8039405
TAX=0,PREMIUM=6,MANDATE=1,1061718
TAX=0,PREMIUM=6,MANDATE=2,578811
TAX=0,PREMIUM=6,MANDATE=3,469422
TAX=0,PREMIUM=6,MANDATE=4,402503
TAX=0,PREMIUM=6,MANDATE=5,448141
TAX=0,PREMIUM=7,MANDATE=0,8403542
TAX=0,PREMIUM=7,MANDATE=1,984718
TAX=0,PREMIUM=7,MANDATE=2,483739
TAX=0,PREMIUM=7,MANDATE=3,405756
TAX=0,PREMIUM=7,MANDATE=4,373752
TAX=0,PREMIUM=7,MANDATE=5,348493
TAX=0,PREMIUM=8,MANDATE=0,8792266
TAX=0,PREMIUM=8,MANDATE=1,899795
TAX=0,PREMIUM=8,MANDATE=2,409934
TAX=0,PREMIUM=8,MANDATE=3,312466
TAX=0,PREMIUM=8,MANDATE=4,280622
TAX=0,PREMIUM=8,MANDATE=5,304917
TAX=0,PREMIUM=9,MANDATE=0,9285084
TAX=0,PREMIUM=9,MANDATE=1,815221
TAX=0,PREMIUM=9,MANDATE=2,342119
TAX=0,PREMIUM=9,MANDATE=3,211177
TAX=0,PREMIUM=9,MANDATE=4,164083
TAX=0,PREMIUM=9,MANDATE=5,182316
TAX=0,PREMIUM=10,MANDATE=0,9789320
TAX=0,PREMIUM=10,MANDATE=1,733406
TAX=0,PREMIUM=10,MANDATE=2,255753
TAX=0,PREMIUM=10,MANDATE=3,127059
TAX=0,PREMIUM=10,MANDATE=4,64276
TAX=0,PREMIUM=10,MANDATE=5,30186
TAX=1,PREMIUM=0,MANDATE=0,6860898
TAX=1,PREMIUM=0,MANDATE=1,1668361
TAX=1,PREMIUM=0,MANDATE=2,881785
TAX=1,PREMIUM=0,MANDATE=3,640259
TAX=1,PREMIUM=0,MANDATE=4,520828
TAX=1,PREMIUM=0,MANDATE=5,427869
TAX=1,PREMIUM=1,MANDATE=0,6843096
TAX=1,PREMIUM=1,MANDATE=1,1759555
TAX=1,PREMIUM=1,MANDATE=2,863082
TAX=1,PREMIUM=1,MANDATE=3,651774
